Age,Gender,Occupation,Income Level,Education Level,Smoking Habit,Social Activity Level,Physical Activity Level,Region,Alcohol Consumption (ml/week)
44,Male,Student,Low,High School,Non-smoker,Medium,Low,Rural,233.22
19,Female,Unemployed,Medium,Master's,Non-smoker,Medium,Low,Rural,67.42
22,Female,Student,High,High School,Occasional Smoker,Medium,Medium,Urban,140.47
46,Male,Unemployed,Low,Master's,Non-smoker,Low,Low,Urban,167.48
54,Male,Student,Low,Bachelor's,Non-smoker,Medium,High,Urban,186.03
55,Male,Unemployed,Medium,High School,Occasional Smoker,Low,Low,Urban,160.19
36,Male,Professional,High,High School,Occasional Smoker,Low,High,Urban,132.76
25,Female,Unemployed,Low,Bachelor's,Non-smoker,Medium,Low,Rural,78.89
65,Male,Professional,High,Bachelor's,Occasional Smoker,High,Low,Urban,311.16
62,Female,Professional,Low,Bachelor's,Non-smoker,Medium,High,Suburban,87.05
18,Female,Unemployed,High,High School,Non-smoker,Medium,Low,Suburban,113.19
39,Male,Student,High,High School,Occasional Smoker,High,Low,Urban,292.96
69,Male,Student,Medium,High School,Non-smoker,High,Low,Rural,321.96
34,Male,Retired,Medium,Bachelor's,Non-smoker,Medium,Medium,Rural,162.07
24,Male,Student,Medium,High School,Regular Smoker,Low,Low,Urban,320.52
42,Male,Retired,Medium,High School,Non-smoker,High,Medium,Urban,257.02
62,Female,Student,Low,Bachelor's,Non-smoker,Low,Medium,Urban,145.6
21,Male,Student,Low,Master's,Regular Smoker,Medium,Medium,Suburban,349.25
53,Non-binary,Professional,Low,High School,Occasional Smoker,Low,Medium,Urban,76.94
23,Male,Retired,Medium,High School,Occasional Smoker,Medium,Medium,Suburban,147.43
48,Female,Student,Low,Bachelor's,Regular Smoker,Low,Low,Rural,241.08
36,Female,Retired,Medium,Bachelor's,Non-smoker,Medium,High,Urban,17.92
61,Female,Professional,High,High School,Occasional Smoker,Medium,Low,Rural,132.65
56,Female,Professional,Low,Master's,Non-smoker,Low,Medium,Urban,133.57
44,Female,Retired,Medium,Master's,Occasional Smoker,Medium,Medium,Rural,100.71
27,Female,Professional,Medium,High School,Non-smoker,High,High,Urban,149.23
43,Female,Unemployed,High,High School,Occasional Smoker,High,Medium,Suburban,234.59
36,Female,Unemployed,High,Bachelor's,Non-smoker,Low,Low,Urban,121.84
56,Male,Professional,High,Bachelor's,Non-smoker,Medium,Medium,Rural,221.49
20,Male,Unemployed,High,High School,Occasional Smoker,Medium,Medium,Suburban,217.4
62,Female,Student,Low,Bachelor's,Occasional Smoker,Medium,Low,Urban,149.81
30,Female,Retired,High,Bachelor's,Occasional Smoker,Low,Medium,Suburban,127.06
67,Female,Student,Medium,High School,Non-smoker,Medium,Medium,Urban,172.18
45,Female,Retired,Low,Bachelor's,Non-smoker,High,High,Suburban,152.81
37,Non-binary,Professional,High,Master's,Occasional Smoker,Medium,Medium,Rural,100.57
45,Male,Student,Low,High School,Occasional Smoker,Medium,Low,Urban,209.41
25,Male,Professional,Medium,High School,Occasional Smoker,Medium,Low,Urban,136.79
58,Male,Professional,Low,High School,Regular Smoker,Low,High,Urban,314.53
56,Male,Retired,Medium,Master's,Occasional Smoker,Medium,High,Suburban,170.64
18,Female,Retired,Medium,PhD,Non-smoker,Medium,Low,Urban,73.84
20,Male,Retired,Medium,High School,Occasional Smoker,Low,Low,Urban,160.89
30,Female,Student,Medium,Bachelor's,Regular Smoker,High,Medium,Urban,342.85
45,Male,Unemployed,Low,Bachelor's,Occasional Smoker,Low,Low,Urban,148.29
66,Female,Retired,High,Bachelor's,Occasional Smoker,High,Low,Rural,269.83
42,Female,Retired,Low,High School,Occasional Smoker,Medium,Low,Urban,100.06
50,Male,Student,Medium,High School,Non-smoker,Low,Low,Suburban,244.18
55,Female,Retired,High,High School,Non-smoker,Medium,Medium,Suburban,150.53
70,Male,Student,High,Bachelor's,Non-smoker,Medium,Medium,Suburban,290.51
23,Male,Professional,Medium,High School,Regular Smoker,Low,Low,Urban,251.32
61,Male,Retired,Medium,Master's,Occasional Smoker,Medium,Low,Suburban,195.02
62,Male,Retired,High,High School,Non-smoker,Medium,Low,Rural,206.04
49,Male,Professional,High,High School,Regular Smoker,Medium,Medium,Urban,309.17
62,Female,Professional,Medium,Bachelor's,Non-smoker,Low,Low,Urban,130.19
64,Female,Professional,Low,Bachelor's,Non-smoker,Medium,Medium,Urban,140.56
38,Female,Retired,Low,High School,Occasional Smoker,Low,Medium,Urban,75.44
33,Male,Unemployed,Low,High School,Occasional Smoker,Medium,Low,Urban,172.2
38,Female,Unemployed,Medium,PhD,Non-smoker,Low,Low,Suburban,104.46
28,Male,Unemployed,Low,High School,Non-smoker,High,Low,Urban,263.77
54,Male,Retired,Medium,High School,Non-smoker,Medium,Medium,Suburban,224.58
53,Female,Professional,Low,Master's,Non-smoker,Medium,High,Suburban,47.22
52,Male,Retired,Low,High School,Non-smoker,Medium,Low,Urban,180.23
36,Female,Professional,High,High School,Non-smoker,Low,High,Suburban,84.45
37,Female,Retired,Medium,High School,Non-smoker,Low,Low,Urban,70.75
35,Male,Retired,Low,High School,Non-smoker,High,High,Rural,175.09
64,Male,Professional,High,High School,Non-smoker,High,Medium,Urban,295.41
58,Male,Unemployed,Low,High School,Non-smoker,Low,Medium,Suburban,150.49
66,Female,Professional,Medium,High School,Regular Smoker,Medium,Medium,Rural,237.19
31,Male,Student,Medium,High School,Occasional Smoker,Medium,Medium,Urban,228.07
32,Male,Student,Low,Bachelor's,Non-smoker,Medium,High,Urban,202.51
48,Male,Professional,High,High School,Non-smoker,Low,Medium,Suburban,219.6
18,Female,Retired,Medium,High School,Non-smoker,Low,Medium,Urban,69.77
70,Male,Student,Medium,Master's,Non-smoker,Low,Low,Rural,260.76
20,Male,Student,Low,Bachelor's,Non-smoker,High,Low,Rural,278.07
33,Female,Retired,Low,High School,Non-smoker,Medium,High,Urban,50.01
40,Female,Retired,High,Master's,Non-smoker,Medium,Medium,Urban,135.63
28,Male,Unemployed,Low,High School,Occasional Smoker,High,Medium,Urban,238.24
29,Male,Retired,Medium,High School,Non-smoker,Medium,Medium,Urban,139.8
27,Male,Professional,Medium,Bachelor's,Non-smoker,High,High,Suburban,201.93
49,Female,Professional,Medium,Bachelor's,Occasional Smoker,Medium,Medium,Suburban,75.51
33,Male,Unemployed,Low,High School,Non-smoker,Low,Medium,Urban,174.99
25,Female,Student,Low,High School,Non-smoker,High,Medium,Urban,210.33
55,Female,Student,Medium,Bachelor's,Non-smoker,Medium,Low,Urban,161.87
29,Female,Retired,Low,High School,Non-smoker,Low,Low,Urban,84.43
41,Male,Professional,Low,Master's,Occasional Smoker,Medium,High,Rural,118.28
45,Female,Student,Low,High School,Non-smoker,Low,Low,Urban,115.29
70,Female,Unemployed,Medium,Master's,Non-smoker,Medium,High,Rural,81.53
25,Female,Unemployed,High,Bachelor's,Non-smoker,High,Low,Suburban,212.2
45,Male,Professional,Low,Master's,Non-smoker,High,Low,Suburban,210.04
53,Non-binary,Unemployed,Low,Bachelor's,Regular Smoker,High,High,Urban,254.04
43,Male,Unemployed,Low,Bachelor's,Occasional Smoker,Low,Medium,Suburban,145.92
25,Male,Professional,Medium,High School,Non-smoker,Medium,Low,Suburban,140.76
67,Male,Retired,Medium,High School,Non-smoker,Low,Medium,Suburban,156.35
45,Female,Retired,Medium,High School,Non-smoker,High,Medium,Urban,203.09
45,Male,Unemployed,Medium,Master's,Regular Smoker,Medium,Medium,Urban,294.64
54,Male,Retired,Medium,Master's,Non-smoker,Medium,Low,Suburban,212.07
58,Male,Retired,High,High School,Non-smoker,Medium,High,Urban,142.46
53,Male,Unemployed,High,High School,Non-smoker,Medium,High,Urban,192.27
44,Female,Retired,Low,High School,Non-smoker,Medium,Low,Rural,108.92
34,Female,Unemployed,Low,Bachelor's,Non-smoker,High,High,Urban,164.53
26,Male,Student,Low,High School,Non-smoker,High,High,Urban,270.98
50,Male,Professional,Low,Bachelor's,Non-smoker,Low,Medium,Urban,172.79
70,Female,Professional,High,PhD,Non-smoker,Medium,Medium,Suburban,118.93
37,Male,Retired,Medium,High School,Non-smoker,High,Low,Urban,279.53
30,Male,Retired,Low,High School,Regular Smoker,Low,Low,Suburban,281.03
45,Non-binary,Retired,Medium,High School,Non-smoker,Medium,Medium,Urban,88.56
65,Female,Professional,Medium,High School,Non-smoker,Low,High,Urban,43.47
46,Male,Student,Low,High School,Occasional Smoker,Medium,Medium,Suburban,202.03
30,Female,Student,Low,High School,Non-smoker,Low,Medium,Urban,128.68
63,Male,Professional,Medium,Master's,Occasional Smoker,Medium,Low,Rural,183.17
52,Female,Student,Medium,High School,Occasional Smoker,Low,Low,Urban,133.55
23,Male,Professional,Low,High School,Non-smoker,Medium,Medium,Urban,134.2
35,Male,Student,Low,Master's,Regular Smoker,High,Low,Urban,422.16
68,Male,Unemployed,Medium,Bachelor's,Non-smoker,High,Medium,Urban,270.26
22,Female,Unemployed,Low,High School,Non-smoker,High,Low,Rural,160.4
64,Female,Professional,Medium,Bachelor's,Non-smoker,Medium,Medium,Rural,105.45
42,Male,Student,Medium,High School,Non-smoker,Low,Low,Urban,216.72
19,Male,Retired,Low,Bachelor's,Occasional Smoker,Low,Medium,Suburban,137.77
27,Female,Student,High,Bachelor's,Occasional Smoker,High,Medium,Suburban,252.62
47,Male,Unemployed,Medium,Bachelor's,Occasional Smoker,Medium,Low,Urban,180.13
67,Male,Unemployed,Low,High School,Regular Smoker,Low,Low,Urban,302.05
62,Non-binary,Student,Medium,Master's,Occasional Smoker,Medium,Low,Rural,165.47
22,Male,Student,Medium,High School,Occasional Smoker,Low,High,Rural,142.56
50,Female,Retired,Medium,High School,Non-smoker,Low,Low,Rural,116.27
18,Non-binary,Retired,Low,High School,Non-smoker,High,Medium,Suburban,163.99
35,Male,Student,High,High School,Non-smoker,High,High,Suburban,290.78
49,Male,Student,Medium,High School,Occasional Smoker,Medium,Medium,Urban,210.58
64,Male,Student,Low,Master's,Non-smoker,High,Low,Urban,349.48
66,Female,Student,Low,Master's,Non-smoker,Medium,High,Urban,103.09
28,Female,Professional,Low,High School,Non-smoker,Medium,Low,Suburban,85.33
38,Female,Student,High,High School,Non-smoker,Low,Medium,Suburban,175.03
43,Male,Retired,Low,High School,Non-smoker,Low,High,Rural,125.1
42,Female,Unemployed,Low,High School,Non-smoker,Medium,Medium,Rural,72.12
39,Female,Professional,High,High School,Occasional Smoker,High,Medium,Rural,221.13
44,Female,Student,Low,Master's,Non-smoker,Medium,Low,Rural,127.74
66,Female,Unemployed,Low,High School,Occasional Smoker,Low,Low,Urban,105.5
30,Female,Professional,Low,High School,Non-smoker,Low,Medium,Suburban,88.55
50,Female,Unemployed,Low,High School,Non-smoker,High,Low,Suburban,172.65
51,Female,Student,Low,Master's,Non-smoker,Low,High,Urban,125.77
58,Male,Student,Medium,Bachelor's,Non-smoker,Medium,High,Rural,217.56
52,Male,Retired,Low,Master's,Non-smoker,Low,High,Rural,127.4
18,Female,Student,Low,Bachelor's,Non-smoker,Low,Medium,Urban,118.11
38,Male,Student,Medium,High School,Non-smoker,Medium,Medium,Urban,223.36
65,Female,Professional,Medium,High School,Non-smoker,Medium,High,Suburban,61.18
23,Non-binary,Retired,Medium,Bachelor's,Non-smoker,Medium,High,Suburban,15.65
45,Female,Professional,Medium,High School,Occasional Smoker,Low,Medium,Rural,91.65
34,Male,Unemployed,Low,Bachelor's,Occasional Smoker,High,Low,Urban,223.87
22,Male,Student,Medium,High School,Non-smoker,Low,Low,Urban,199.89
48,Male,Unemployed,Medium,High School,Regular Smoker,Medium,Medium,Urban,338.16
22,Female,Professional,Low,Bachelor's,Non-smoker,High,Medium,Urban,176.88
55,Female,Student,High,Bachelor's,Occasional Smoker,Low,High,Urban,163.85
20,Female,Student,Low,Bachelor's,Occasional Smoker,High,Low,Rural,196
70,Male,Professional,Medium,High School,Occasional Smoker,Low,Low,Urban,207.07
40,Female,Professional,Low,Bachelor's,Non-smoker,Medium,Low,Urban,95.82
54,Female,Professional,Medium,High School,Non-smoker,Medium,Low,Urban,114.12
70,Male,Professional,Medium,High School,Non-smoker,High,Low,Urban,299.97
54,Female,Professional,High,High School,Non-smoker,Low,Medium,Rural,131.08
27,Male,Student,Low,High School,Non-smoker,Medium,Medium,Suburban,223.34
27,Male,Professional,Medium,High School,Non-smoker,High,Medium,Suburban,242.83
36,Female,Student,Medium,High School,Non-smoker,Medium,Low,Urban,126.41
34,Male,Student,Medium,High School,Non-smoker,Medium,Low,Urban,231.47
38,Female,Professional,Medium,High School,Occasional Smoker,Low,Medium,Urban,83.19
31,Female,Professional,Medium,High School,Regular Smoker,Medium,High,Urban,169.93
26,Female,Retired,Medium,High School,Regular Smoker,Low,Low,Rural,229.72
63,Male,Student,Low,High School,Non-smoker,Low,High,Urban,204.83
18,Female,Professional,Medium,Bachelor's,Occasional Smoker,Medium,Low,Suburban,68.23
68,Female,Professional,Low,High School,Regular Smoker,Medium,High,Urban,206.61
62,Female,Professional,High,High School,Non-smoker,High,High,Suburban,188.57
30,Male,Retired,Medium,High School,Non-smoker,High,Low,Rural,262.86
21,Male,Retired,High,Bachelor's,Regular Smoker,Medium,Medium,Suburban,293.3
18,Female,Unemployed,Low,Master's,Non-smoker,High,Low,Suburban,143.88
66,Male,Student,High,Bachelor's,Non-smoker,Medium,High,Rural,205.57
57,Female,Unemployed,High,Bachelor's,Non-smoker,Low,Medium,Suburban,181.77
49,Female,Professional,Medium,High School,Non-smoker,Medium,Medium,Urban,113.25
51,Female,Retired,Medium,Bachelor's,Occasional Smoker,Low,Medium,Urban,94.57
45,Female,Retired,Low,Bachelor's,Occasional Smoker,Medium,High,Suburban,55.93
48,Female,Unemployed,High,High School,Non-smoker,High,Low,Suburban,228.02
25,Female,Retired,Medium,High School,Non-smoker,Medium,Medium,Urban,63.53
56,Female,Professional,Low,High School,Non-smoker,High,Low,Urban,175.5
43,Female,Retired,Low,Master's,Non-smoker,Low,Low,Rural,101.16
51,Male,Unemployed,High,Bachelor's,Non-smoker,Medium,Medium,Urban,229.07
20,Male,Professional,High,Bachelor's,Regular Smoker,Low,Low,Urban,302.88
67,Female,Unemployed,High,High School,Non-smoker,Medium,Low,Urban,142.97
29,Male,Retired,Medium,High School,Non-smoker,Medium,High,Rural,135.43
18,Male,Unemployed,Low,High School,Occasional Smoker,Medium,Low,Urban,130.33
61,Male,Unemployed,Low,High School,Non-smoker,Low,Medium,Suburban,140.42
22,Female,Student,Low,Master's,Occasional Smoker,Low,Low,Urban,111.42
47,Female,Retired,Low,Bachelor's,Occasional Smoker,Low,Low,Suburban,117.09
47,Female,Retired,Low,High School,Occasional Smoker,Medium,Low,Rural,95.04
34,Female,Unemployed,Low,Master's,Non-smoker,High,Medium,Urban,194.12
65,Female,Student,Medium,High School,Non-smoker,Low,Medium,Suburban,190.59
64,Male,Retired,High,PhD,Non-smoker,Medium,Low,Urban,196.9
40,Female,Professional,Medium,High School,Non-smoker,High,Low,Urban,199.51
32,Male,Unemployed,High,High School,Occasional Smoker,Medium,High,Rural,136.77
54,Female,Retired,Medium,High School,Occasional Smoker,Medium,Low,Urban,109.33
38,Female,Professional,Low,High School,Occasional Smoker,High,High,Suburban,115.09
31,Male,Retired,Low,High School,Regular Smoker,Low,Low,Urban,295.09
19,Male,Professional,Low,Bachelor's,Occasional Smoker,Low,Medium,Urban,162.06
28,Male,Unemployed,Low,Master's,Non-smoker,Low,Low,Urban,163.98
68,Male,Retired,Medium,Bachelor's,Non-smoker,High,High,Suburban,241.72
56,Male,Retired,Low,High School,Occasional Smoker,High,Medium,Urban,231.28
55,Female,Student,Low,Bachelor's,Non-smoker,Medium,Medium,Suburban,156.85
51,Female,Unemployed,Low,High School,Non-smoker,Low,Low,Urban,101.39
55,Female,Professional,High,High School,Non-smoker,Medium,Medium,Urban,142.73
67,Female,Retired,Medium,Bachelor's,Occasional Smoker,Low,Medium,Suburban,108.16
51,Female,Retired,Medium,Bachelor's,Non-smoker,Low,Low,Rural,81.88
35,Female,Professional,Low,High School,Occasional Smoker,Medium,Low,Urban,68.95
47,Male,Unemployed,Medium,High School,Occasional Smoker,High,High,Suburban,214.22
32,Female,Student,Medium,PhD,Non-smoker,High,Low,Urban,178.32
44,Male,Student,Medium,High School,Non-smoker,Medium,Medium,Suburban,224.19
68,Non-binary,Retired,High,High School,Non-smoker,Low,Medium,Rural,111.98
51,Female,Professional,Low,Bachelor's,Occasional Smoker,Low,High,Rural,44.95
69,Female,Retired,High,High School,Occasional Smoker,Medium,High,Suburban,103.37
55,Male,Professional,High,High School,Regular Smoker,Medium,High,Urban,304.09
50,Female,Student,Low,High School,Non-smoker,High,Low,Rural,239.28
41,Female,Unemployed,Medium,Bachelor's,Non-smoker,Medium,High,Suburban,40.16
32,Male,Professional,High,Bachelor's,Non-smoker,Medium,Low,Urban,199.37
47,Male,Student,Low,Bachelor's,Occasional Smoker,Low,Medium,Urban,245.15
59,Female,Retired,Medium,PhD,Non-smoker,Low,Medium,Rural,104.85
68,Male,Professional,High,Bachelor's,Non-smoker,Medium,Low,Rural,221.64
34,Female,Unemployed,Medium,High School,Non-smoker,Low,High,Urban,45.52
22,Male,Retired,Low,High School,Non-smoker,Medium,Low,Suburban,149.07
46,Male,Retired,Medium,Bachelor's,Non-smoker,High,Medium,Rural,268.06
21,Female,Student,Low,Bachelor's,Non-smoker,Medium,Medium,Urban,120.98
27,Male,Professional,Medium,Bachelor's,Non-smoker,Low,Medium,Urban,126.45
34,Female,Retired,Low,Bachelor's,Non-smoker,Low,Low,Suburban,100.72
27,Male,Unemployed,Medium,High School,Occasional Smoker,Medium,Medium,Urban,183.18
34,Male,Professional,Medium,High School,Occasional Smoker,Medium,High,Urban,122.8
37,Female,Unemployed,Medium,High School,Non-smoker,Medium,Low,Suburban,72.63
41,Female,Retired,Medium,High School,Occasional Smoker,Medium,Medium,Rural,104.93
22,Female,Unemployed,Medium,High School,Non-smoker,Medium,Low,Suburban,82.94
51,Female,Student,Medium,Bachelor's,Non-smoker,Medium,Medium,Suburban,144.24
23,Female,Unemployed,Low,Bachelor's,Regular Smoker,Medium,High,Urban,174.03
70,Male,Professional,Medium,High School,Occasional Smoker,High,Medium,Urban,303.56
19,Male,Unemployed,Low,High School,Occasional Smoker,Medium,Medium,Suburban,164.07
30,Female,Unemployed,High,High School,Non-smoker,Low,Medium,Urban,94.39
60,Female,Student,Low,High School,Non-smoker,Medium,Medium,Rural,149.19
60,Female,Unemployed,Medium,Bachelor's,Regular Smoker,Medium,Low,Urban,244.94
65,Male,Unemployed,Medium,Bachelor's,Non-smoker,High,Low,Urban,305.91
28,Male,Retired,Medium,Bachelor's,Non-smoker,Medium,Medium,Urban,165.2
68,Female,Retired,Low,Bachelor's,Occasional Smoker,High,Medium,Rural,231.61
64,Female,Professional,Medium,Bachelor's,Occasional Smoker,High,Medium,Urban,208.22
40,Female,Retired,Medium,High School,Regular Smoker,Medium,Low,Urban,241.64
33,Female,Retired,Medium,High School,Non-smoker,Medium,Low,Urban,75.61
48,Female,Retired,Low,High School,Regular Smoker,Medium,Low,Rural,237.74
28,Male,Retired,Medium,PhD,Non-smoker,High,High,Urban,210.46
33,Male,Student,Medium,High School,Non-smoker,Medium,Medium,Urban,237.8
25,Male,Retired,Medium,High School,Occasional Smoker,Low,Low,Urban,168.67
21,Male,Student,Medium,Master's,Non-smoker,Medium,Low,Suburban,199.55
57,Female,Student,Medium,Master's,Non-smoker,Low,High,Urban,102.67
21,Male,Retired,Low,Bachelor's,Occasional Smoker,Medium,Low,Urban,141.21
42,Female,Unemployed,Low,High School,Non-smoker,Low,High,Urban,69.37
20,Male,Student,Low,High School,Non-smoker,Medium,Low,Suburban,181.06
49,Male,Unemployed,Low,High School,Non-smoker,High,High,Suburban,232.39
20,Male,Unemployed,Medium,High School,Non-smoker,Low,High,Suburban,82.77
44,Male,Retired,Medium,High School,Non-smoker,Low,Medium,Rural,176.03
46,Female,Professional,Low,High School,Occasional Smoker,Low,Low,Rural,105.45
49,Male,Retired,High,Master's,Occasional Smoker,Medium,Low,Urban,199.69
67,Female,Professional,Low,High School,Non-smoker,Medium,Medium,Suburban,136.74
68,Male,Professional,Medium,Bachelor's,Occasional Smoker,Low,Medium,Suburban,220.8
36,Male,Retired,Medium,Bachelor's,Non-smoker,Low,Low,Rural,172.23
38,Male,Retired,Low,High School,Non-smoker,Medium,Low,Urban,167.68
22,Female,Professional,Low,Bachelor's,Occasional Smoker,Low,Medium,Suburban,74.75
35,Female,Retired,Medium,High School,Non-smoker,Medium,Medium,Urban,97.39
45,Male,Professional,Low,High School,Regular Smoker,Low,Low,Rural,299.67
59,Male,Unemployed,High,Bachelor's,Non-smoker,Medium,Low,Urban,164.91
39,Female,Retired,Medium,High School,Occasional Smoker,Low,High,Urban,36.11
38,Male,Unemployed,High,PhD,Non-smoker,Medium,Medium,Urban,174.97
23,Male,Student,Low,High School,Non-smoker,Low,Medium,Urban,190.63
18,Female,Unemployed,Medium,Bachelor's,Non-smoker,Medium,Medium,Suburban,69.83
22,Female,Unemployed,Medium,High School,Occasional Smoker,High,Low,Urban,156.54
58,Male,Professional,Medium,High School,Non-smoker,High,Low,Urban,278.42
29,Female,Unemployed,Low,High School,Regular Smoker,Medium,Low,Rural,215.34
43,Female,Retired,Medium,Bachelor's,Non-smoker,Medium,High,Urban,52
63,Male,Professional,Medium,Master's,Non-smoker,High,Medium,Suburban,316.43
51,Female,Student,Medium,Master's,Non-smoker,Medium,Low,Urban,134.39
66,Female,Retired,Low,High School,Occasional Smoker,Low,High,Urban,100.96
31,Male,Student,High,Bachelor's,Regular Smoker,High,Low,Rural,428.41
43,Male,Unemployed,Low,Bachelor's,Non-smoker,Medium,High,Suburban,110.73
62,Male,Retired,High,Bachelor's,Occasional Smoker,Low,High,Urban,147.63
44,Female,Retired,High,High School,Non-smoker,Low,Low,Rural,113.23
26,Male,Student,High,Bachelor's,Occasional Smoker,Low,Low,Rural,229.6
43,Female,Retired,Medium,Master's,Regular Smoker,Medium,Medium,Rural,253.29
64,Female,Retired,Medium,High School,Non-smoker,Low,Medium,Urban,133.18
39,Male,Retired,High,Master's,Non-smoker,Low,Medium,Urban,203.27
64,Female,Unemployed,Low,Bachelor's,Regular Smoker,Low,High,Suburban,214.16
47,Male,Student,Medium,High School,Regular Smoker,Medium,Medium,Suburban,311.49
60,Female,Retired,Medium,High School,Non-smoker,Medium,Low,Urban,122.26
65,Female,Professional,Medium,High School,Non-smoker,Medium,Low,Suburban,134.68
34,Male,Professional,Low,Bachelor's,Non-smoker,Low,Medium,Urban,126.33
43,Male,Professional,Medium,Master's,Non-smoker,Low,Low,Urban,154.55
53,Male,Professional,High,High School,Occasional Smoker,High,Medium,Urban,271.5
18,Male,Unemployed,Low,Master's,Occasional Smoker,Medium,Low,Suburban,152.57
25,Male,Retired,High,Master's,Non-smoker,Medium,Low,Urban,202.49
66,Male,Student,Low,High School,Non-smoker,Low,Low,Rural,288.72
52,Non-binary,Retired,Low,Master's,Non-smoker,Medium,Medium,Suburban,104.63
69,Male,Unemployed,Low,PhD,Non-smoker,Medium,Low,Suburban,152.32
32,Male,Professional,Low,Bachelor's,Non-smoker,Low,Medium,Rural,178.25
